,index,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,aaai_std,accuracy,early_stop,f1_score,instances_sorted,mean_max_dissim_,mean_min_dissim_,median_max_dissim_,median_min_dissim_,num_topics,pre_threshold,precision,rec_threshold,recall,std_dev_max_dissim_,std_dev_min_dissim_,type,instances_sorted_early_stop
518,134,134.0,134.0,,,,72.3,79.74166666666667,False,75.11904761904762,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,50,82.70833333333334,75,73.75,0.08614000377959244,23.94724390152541,shape,True_False
519,135,135.0,135.0,,,,72.3,81.24166666666667,False,74.15357142857142,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,50,83.425,90,70.58333333333333,0.08614000377959244,23.94724390152541,shape,True_False
520,136,136.0,136.0,,,,72.3,83.10833333333333,False,75.125,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,75,82.88333333333334,25,73.66666666666666,0.08614000377959244,23.94724390152541,shape,True_False
521,137,137.0,137.0,,,,72.3,82.21666666666667,False,75.82619047619048,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,75,81.29166666666666,50,76.25,0.08614000377959244,23.94724390152541,shape,True_False
522,138,138.0,138.0,,,,72.3,84.34166666666667,False,78.60238095238095,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,75,87.29166666666669,75,75.91666666666666,0.08614000377959244,23.94724390152541,shape,True_False
523,139,139.0,139.0,,,,72.3,81.59166666666667,False,74.15714285714286,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,75,78.66666666666666,90,75.16666666666666,0.08614000377959244,23.94724390152541,shape,True_False
524,140,140.0,140.0,,,,72.3,82.19166666666666,False,75.125,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,90,82.84166666666667,25,73.5,0.08614000377959244,23.94724390152541,shape,True_False
525,141,141.0,141.0,,,,72.3,83.53333333333333,False,77.29404761904762,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,90,82.38333333333333,50,77.33333333333333,0.08614000377959244,23.94724390152541,shape,True_False
526,142,142.0,142.0,,,,72.3,83.45833333333333,False,80.1845238095238,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,90,89.46666666666668,75,77.41666666666666,0.08614000377959244,23.94724390152541,shape,True_False
527,143,143.0,143.0,,,,72.3,83.89166666666667,False,79.03214285714286,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,90,83.38333333333333,90,80.0,0.08614000377959244,23.94724390152541,shape,True_False
528,144,144.0,144.0,,,,73.0,79.2890625,True,71.24553571428571,True,89.27024075454399,9.16481253179031,89.31243414358913,2.5625587331231388,5,25,78.84114583333334,25,69.16666666666666,0.2923887062744878,16.516323951899825,object,True_True
529,145,145.0,145.0,,,,73.0,79.58333333333333,True,71.31547619047619,True,89.27024075454399,9.16481253179031,89.31243414358913,2.5625587331231388,5,25,78.58072916666667,50,69.86979166666666,0.2923887062744878,16.516323951899825,object,True_True
530,146,146.0,146.0,,,,73.0,80.6484375,True,72.60342261904762,True,89.27024075454399,9.16481253179031,89.31243414358913,2.5625587331231388,5,25,80.78125,75,69.81770833333333,0.2923887062744878,16.516323951899825,object,True_True
531,147,147.0,147.0,,,,73.0,80.71875,True,72.63392857142857,True,89.27024075454399,9.16481253179031,89.31243414358913,2.5625587331231388,5,25,80.234375,90,70.44270833333334,0.2923887062744878,16.516323951899825,object,True_True
532,148,148.0,148.0,,,,73.0,81.0703125,True,72.21577380952381,True,89.27024075454399,9.16481253179031,89.31243414358913,2.5625587331231388,5,50,79.9609375,25,70.49479166666667,0.2923887062744878,16.516323951899825,object,True_True
533,149,149.0,149.0,,,,73.0,79.03385416666667,True,69.4233630952381,True,89.27024075454399,9.16481253179031,89.31243414358913,2.5625587331231388,5,50,77.91666666666666,50,66.61458333333333,0.2923887062744878,16.516323951899825,object,True_True
534,150,150.0,150.0,,,,73.0,79.48177083333334,True,71.48139880952381,True,89.27024075454399,9.16481253179031,89.31243414358913,2.5625587331231388,5,50,80.53385416666667,75,68.64583333333334,0.2923887062744878,16.516323951899825,object,True_True
535,151,151.0,151.0,,,,73.0,81.2421875,True,72.92113095238093,True,89.27024075454399,9.16481253179031,89.31243414358913,2.5625587331231388,5,50,81.77083333333333,90,69.73958333333333,0.2923887062744878,16.516323951899825,object,True_True
536,152,152.0,152.0,,,,73.0,79.8984375,True,71.24925595238095,True,89.27024075454399,9.16481253179031,89.31243414358913,2.5625587331231388,5,75,79.38802083333334,25,68.72395833333333,0.2923887062744878,16.516323951899825,object,True_True
537,153,153.0,153.0,,,,73.0,81.41145833333333,True,71.73660714285714,True,89.27024075454399,9.16481253179031,89.31243414358913,2.5625587331231388,5,75,80.53385416666666,50,68.59375,0.2923887062744878,16.516323951899825,object,True_True
538,154,154.0,154.0,,,,73.0,80.77604166666667,True,71.74107142857143,True,89.27024075454399,9.16481253179031,89.31243414358913,2.5625587331231388,5,75,78.85416666666667,75,70.44270833333333,0.2923887062744878,16.516323951899825,object,True_True
539,155,155.0,155.0,,,,73.0,79.44010416666666,True,71.27232142857143,True,89.27024075454399,9.16481253179031,89.31243414358913,2.5625587331231388,5,75,79.453125,90,69.19270833333333,0.2923887062744878,16.516323951899825,object,True_True
540,156,156.0,156.0,,,,73.0,80.92708333333333,True,72.24032738095238,True,89.27024075454399,9.16481253179031,89.31243414358913,2.5625587331231388,5,90,80.49479166666667,25,69.6875,0.2923887062744878,16.516323951899825,object,True_True
541,157,157.0,157.0,,,,73.0,81.01822916666666,True,71.99776785714286,True,89.27024075454399,9.16481253179031,89.31243414358913,2.5625587331231388,5,90,80.0390625,50,69.58333333333333,0.2923887062744878,16.516323951899825,object,True_True
542,158,158.0,158.0,,,,73.0,81.45572916666666,True,73.20014880952381,True,89.27024075454399,9.16481253179031,89.31243414358913,2.5625587331231388,5,90,81.7578125,75,70.15625,0.2923887062744878,16.516323951899825,object,True_True
543,159,159.0,159.0,,,,73.0,80.57291666666666,True,70.1889880952381,True,89.27024075454399,9.16481253179031,89.31243414358913,2.5625587331231388,5,90,77.31770833333334,90,68.69791666666666,0.2923887062744878,16.516323951899825,object,True_True
544,160,160.0,160.0,,,,86.6,93.0277777777778,True,90.8511904761905,True,89.20976412777675,8.088749871617091,89.25513388492966,3.6243074940079514,5,25,90.13888888888887,25,94.86111111111113,0.22253771382200954,17.289661272439407,rgb,True_True
545,161,161.0,161.0,,,,86.6,94.64583333333331,True,92.38888888888887,True,89.20976412777675,8.088749871617091,89.25513388492966,3.6243074940079514,5,25,93.15972222222223,50,93.95833333333334,0.22253771382200954,17.289661272439407,rgb,True_True
546,162,162.0,162.0,,,,86.6,91.14583333333334,True,90.19940476190477,True,89.20976412777675,18.783754316934182,89.25513388492966,4.031764884425417,5,25,90.41666666666666,75,94.02777777777777,0.22253771382200954,31.389239406616074,rgb,True_True
547,163,163.0,163.0,,,,86.6,88.51388888888891,True,88.20833333333334,True,89.20976412777675,48.47596343332072,89.25513388492966,73.97015130352924,5,25,86.97916666666666,90,94.6527777777778,0.22253771382200954,40.87092617546856,rgb,True_True
548,164,164.0,164.0,,,,86.6,93.68055555555556,True,91.57738095238096,True,89.20976412777675,8.088749871617091,89.25513388492966,3.6243074940079514,5,50,92.1875,25,93.61111111111113,0.22253771382200954,17.289661272439407,rgb,True_True
549,165,165.0,165.0,,,,86.6,94.0625,True,92.5218253968254,True,89.20976412777675,8.088749871617091,89.25513388492966,3.6243074940079514,5,50,94.75694444444444,50,92.91666666666666,0.22253771382200954,17.289661272439407,rgb,True_True
550,166,166.0,166.0,,,,86.6,90.34722222222223,True,89.14781746031748,True,89.20976412777675,18.783754316934182,89.25513388492966,4.031764884425417,5,50,87.78472222222223,75,94.58333333333331,0.22253771382200954,31.389239406616074,rgb,True_True
551,167,167.0,167.0,,,,86.6,89.22916666666669,True,89.27976190476191,True,89.20976412777675,48.47596343332072,89.25513388492966,73.97015130352924,5,50,88.23611111111113,90,95.27777777777777,0.22253771382200954,40.87092617546856,rgb,True_True
552,168,168.0,168.0,,,,86.6,89.7222222222222,True,88.35416666666666,True,89.20976412777675,28.74821649066889,89.25513388492966,7.644717929855214,5,75,88.20138888888891,25,93.19444444444444,0.22253771382200954,36.829310133699735,rgb,True_True
553,169,169.0,169.0,,,,86.6,87.86111111111109,True,84.81051587301587,True,89.20976412777675,28.74821649066889,89.25513388492966,7.644717929855214,5,75,82.6111111111111,50,92.36111111111107,0.22253771382200954,36.829310133699735,rgb,True_True
554,170,170.0,170.0,,,,86.6,87.75,True,86.62003968253971,True,89.20976412777675,32.069773826092664,89.25513388492966,8.681566501177931,5,75,85.6388888888889,75,93.19444444444444,0.22253771382200954,38.41465493648637,rgb,True_True
555,171,171.0,171.0,,,,86.6,88.51388888888891,True,86.99007936507938,True,89.20976412777675,52.891748051454925,89.25513388492966,84.9211403393895,5,75,85.0763888888889,90,93.75,0.22253771382200954,41.2614481400044,rgb,True_True
556,172,172.0,172.0,,,,86.6,89.29861111111109,True,87.45039682539681,True,89.20976412777675,53.169698969581184,89.25513388492966,86.41644009067574,5,90,85.24305555555556,25,94.72222222222223,0.22253771382200954,41.1349412982745,rgb,True_True
557,173,173.0,173.0,,,,86.6,88.39583333333334,True,87.1686507936508,True,89.20976412777675,53.169698969581184,89.25513388492966,86.41644009067574,5,90,84.79166666666666,50,95.0,0.22253771382200954,41.1349412982745,rgb,True_True
558,174,174.0,174.0,,,,86.6,86.77777777777777,True,86.56845238095238,True,89.20976412777675,53.17208651140178,89.25513388492966,86.41644009067574,5,90,83.52083333333333,75,96.59722222222223,0.22253771382200954,41.13703397272997,rgb,True_True
559,175,175.0,175.0,,,,86.6,88.67361111111109,True,89.16468253968254,True,89.20976412777675,56.678008218088294,89.25513388492966,86.41644009067574,5,90,88.39583333333331,90,95.27777777777777,0.22253771382200954,40.029801331836296,rgb,True_True
560,176,176.0,176.0,,,,72.3,84.2,True,76.5642857142857,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,25,85.5,25,74.33333333333333,0.08614000377959244,23.94724390152541,shape,True_True
561,177,177.0,177.0,,,,72.3,81.05,True,76.13095238095238,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,25,82.0,50,76.25,0.08614000377959244,23.94724390152541,shape,True_True
562,178,178.0,178.0,,,,72.3,83.95833333333333,True,74.66547619047618,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,25,83.05000000000003,75,73.0,0.08614000377959244,23.94724390152541,shape,True_True
563,179,179.0,179.0,,,,72.3,85.30833333333334,True,79.23571428571428,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,25,87.125,90,77.41666666666667,0.08614000377959244,23.94724390152541,shape,True_True
564,180,180.0,180.0,,,,72.3,82.75833333333333,True,75.5,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,50,85.0,25,73.16666666666667,0.08614000377959244,23.94724390152541,shape,True_True
565,181,181.0,181.0,,,,72.3,87.78333333333336,True,81.37261904761905,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,50,87.88333333333334,50,81.08333333333333,0.08614000377959244,23.94724390152541,shape,True_True
566,182,182.0,182.0,,,,72.3,81.86666666666667,True,77.08809523809524,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,50,84.125,75,76.41666666666666,0.08614000377959244,23.94724390152541,shape,True_True
567,183,183.0,183.0,,,,72.3,81.49166666666666,True,77.25119047619049,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,50,87.05,90,74.83333333333333,0.08614000377959244,23.94724390152541,shape,True_True
568,184,184.0,184.0,,,,72.3,82.30833333333331,True,77.31904761904761,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,75,87.125,25,75.16666666666666,0.08614000377959244,23.94724390152541,shape,True_True
569,185,185.0,185.0,,,,72.3,83.88333333333333,True,78.02261904761905,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,75,86.675,50,76.25,0.08614000377959244,23.94724390152541,shape,True_True
570,186,186.0,186.0,,,,72.3,82.1,True,75.66071428571428,True,89.41557220800077,17.978141206069893,89.42703265514284,3.6243074940079514,5,75,85.09166666666667,75,73.41666666666666,0.08614000377959244,23.94724390152541,shape,True_True
